uid,latitude,longitude,petrochemical,capacity,altitude
GAPTBEL0001,51.364213,4.270397,Ethylene,1080.0,0
GAPTBEL0002,51.364213,4.270397,Propylene,650.0,0
GAPTBEL0003,51.364213,4.270397,Butadiene,155.0,0
GAPTBEL0004,51.364213,4.270397,Benzene,280.0,0
GAPTBEL0005,51.271206,4.271608,Propylene,480.0,0
GAPTBEL0006,51.25687,4.339059,Ethylene,1100.0,0
GAPTBEL0007,50.480814,3.798853,Ammonia,400.0,0
GAPTDEU0006,51.606164,7.023428,Ethylene,1050.0,0
GAPTDEU0007,51.606164,7.023428,Propylene,530.0,0
GAPTDEU0008,51.606164,7.023428,Toulene/Xylene,260.0,0
GAPTDEU0009,51.606164,7.023428,Methanol,280.0,0
GAPTDEU0011,51.073531,6.840935,Ethylene,,0
GAPTDEU0012,51.073531,6.840935,Propylene,,0
GAPTDEU0013,51.073531,6.840935,Butadiene,,0
GAPTDEU0014,51.073531,6.840935,Benzene,,0
GAPTDEU0015,51.073531,6.840935,Ammonia,350.0,0
GAPTDEU0019,50.84052,6.964307,Ethylene,,0
GAPTDEU0020,50.84052,6.964307,Propylene,,0
GAPTDEU0021,50.84052,6.964307,Butadiene,,0
GAPTDEU0030,50.859632,6.984547,Ethylene,315.0,0
GAPTDEU0031,50.859632,6.984547,Propylene,,0
GAPTDEU0032,50.859632,6.984547,Benzene,,0
GAPTDEU0033,50.859632,6.984547,Toulene/Xylene,,0
GAPTDEU0034,50.859632,6.984547,Methanol,,0
GAPTDEU0035,50.81765,7.007214,Benzene,,0
GAPTDEU0036,50.81765,7.007214,Toulene/Xylene,,0
GAPTNLD0001,51.342463,3.783059,Ethylene,,0
GAPTNLD0002,51.342463,3.783059,Propylene,,0
GAPTNLD0003,51.342463,3.783059,Butadiene,,0
GAPTNLD0004,51.342463,3.783059,Benzene,,0
GAPTNLD0005,53.316018,6.966324,Methanol,850.0,0
GAPTNLD0006,51.685155,4.563545,Ethylene,971.0,0
GAPTNLD0007,51.685155,4.563545,Propylene,500.0,0
GAPTNLD0008,51.685155,4.563545,Butadiene,115.0,0
GAPTNLD0009,51.685155,4.563545,Benzene,500.0,0
GAPTNLD0010,51.882169,4.344238,Propylene,280.0,0
GAPTNLD0011,50.960857,5.793541,Ethylene,1250.0,0
GAPTNLD0012,50.960857,5.793541,Propylene,675.0,0
GAPTNLD0013,50.960857,5.793541,Butadiene,,0
GAPTNLD0014,50.960857,5.793541,Benzene,,0
GAPTNLD0015,51.276906,3.851783,Ammonia,1900.0,0
